,engagement_count,bet_intent_count
FIXTURE:ufo:mtch:1ve-03g,423,423
FIXTURE:ufo:mtch:1v8-01q,413,413
FIXTURE:ufo:mtch:1ve-09n,413,413
FIXTURE:ufo:mtch:1vi-03q,413,413
FIXTURE:ufo:mtch:1vi-04c,410,410
FIXTURE:ufo:mtch:1v2-029,409,409
FIXTURE:ufo:mtch:1ve-03l,409,409
FIXTURE:ufo:mtch:1vi-03r,409,409
FIXTURE:ufo:mtch:1ux-058,405,405
FIXTURE:ufo:mtch:1uv-01o,403,403
FIXTURE:ufo:mtch:1v6-02m,402,402
FIXTURE:ufo:mtch:1w6-03f,402,402
FIXTURE:ufo:mtch:1w6-03h,402,402
FIXTURE:ufo:mtch:1v9-03h,398,398
FIXTURE:ufo:mtch:1uv-04l,393,393
FIXTURE:ufo:mtch:1ux-056,391,391
FIXTURE:ufo:mtch:1ve-09b,384,384
FIXTURE:ufo:mtch:1vr-0dm,368,368
FIXTURE:ufo:mtch:1uz-03i,366,366
FIXTURE:ufo:mtch:1vq-05d,364,364
FIXTURE:ufo:mtch:1v7-02x,357,357
FIXTURE:ufo:mtch:1uv-04k,353,353
FIXTURE:ufo:mtch:1v6-0cp,348,348
FIXTURE:ufo:mtch:1vi-04k,343,343
FIXTURE:ufo:mtch:1v3-00c,339,339
FIXTURE:ufo:mtch:1vy-01q,328,328
FIXTURE:ufo:mtch:1v7-041,324,324
FIXTURE:ufo:mtch:1vi-03w,322,322
FIXTURE:ufo:mtch:1vk-0a4,322,322
FIXTURE:ufo:mtch:1vb-03q,321,321
FIXTURE:ufo:mtch:1ux-059,320,320
FIXTURE:ufo:mtch:1vj-05s,319,319
FIXTURE:ufo:mtch:1vr-02l,318,318
FIXTURE:ufo:mtch:1ux-04x,316,316
FIXTURE:ufo:mtch:1wa-00x,316,316
FIXTURE:ufo:mtch:1wb-00u,316,316
FIXTURE:ufo:mtch:1v7-045,315,315
FIXTURE:ufo:mtch:1vi-03o,315,315
FIXTURE:ufo:mtch:1vi-05x,314,314
FIXTURE:ufo:mtch:1v2-024,313,313
FIXTURE:ufo:mtch:1v6-02z,313,313
FIXTURE:ufo:mtch:1v4-02m,312,312
FIXTURE:ufo:mtch:1vb-03t,311,311
FIXTURE:ufo:mtch:1vc-020,309,309
FIXTURE:ufo:mtch:1vd-02s,307,307
FIXTURE:ufo:mtch:1v4-02e,306,306
FIXTURE:ufo:mtch:1ux-04u,305,305
FIXTURE:ufo:mtch:1v6-07f,305,305
FIXTURE:ufo:mtch:1vk-0h5,305,305
FIXTURE:ufo:mtch:1ux-04r,300,300
FIXTURE:ufo:mtch:1vj-05b,299,299
FIXTURE:ufo:mtch:1vd-0cc,296,296
FIXTURE:ufo:mtch:1vk-0e2,293,293
FIXTURE:ufo:mtch:1v5-03g,291,291
FIXTURE:ufo:mtch:1v6-02w,291,291
FIXTURE:ufo:mtch:1v6-03o,288,288
FIXTURE:ufo:mtch:1vi-05r,288,288
FIXTURE:ufo:mtch:1ux-04j,283,283
FIXTURE:ufo:mtch:1vi-04j,283,283
FIXTURE:ufo:mtch:1ux-054,282,282
FIXTURE:ufo:mtch:1ux-036,280,280
FIXTURE:ufo:mtch:1vb-041,280,280
FIXTURE:ufo:mtch:1v9-03d,278,278
FIXTURE:ufo:mtch:1ve-02m,270,270
FIXTURE:ufo:mtch:1ve-0dt,270,270
FIXTURE:ufo:mtch:1v3-26p,269,269
FIXTURE:ufo:mtch:1ux-05g,267,267
FIXTURE:ufo:mtch:1uy-03h,265,265
FIXTURE:ufo:mtch:1uy-03c,263,263
FIXTURE:ufo:mtch:1v4-2bo,257,257
FIXTURE:ufo:mtch:1ve-02i,257,257
FIXTURE:ufo:mtch:1vb-03l,255,255
FIXTURE:ufo:mtch:1v2-02p,252,252
FIXTURE:ufo:mtch:1vm-021,252,252
FIXTURE:ufo:mtch:1vb-03m,251,251
FIXTURE:ufo:mtch:1vd-051,251,251
FIXTURE:ufo:mtch:1v2-028,250,250
FIXTURE:ufo:mtch:1uy-01r,248,248
FIXTURE:ufo:mtch:1v3-26t,248,248
FIXTURE:ufo:mtch:1vb-03c,245,245
FIXTURE:ufo:mtch:1ut-0qj,244,244
FIXTURE:ufo:mtch:1uy-01m,244,244
FIXTURE:ufo:mtch:1uy-01w,244,244
FIXTURE:ufo:mtch:1vd-02v,243,243
FIXTURE:ufo:mtch:1v9-03g,242,242
FIXTURE:ufo:mtch:1uz-0l1,238,238
FIXTURE:ufo:mtch:1ut-032,237,237
FIXTURE:ufo:mtch:1vc-0c5,237,237
FIXTURE:ufo:mtch:1wf-009,230,230
FIXTURE:ufo:mtch:1vb-03o,229,229
FIXTURE:ufo:mtch:1vd-3bs,229,229
FIXTURE:ufo:mtch:1wf-008,229,229
FIXTURE:ufo:mtch:1uw-0nl,228,228
FIXTURE:ufo:mtch:1wa-00s,228,228
FIXTURE:ufo:mtch:1wc-01e,227,227
FIXTURE:ufo:mtch:1wj-00q,227,227
FIXTURE:ufo:mtch:1wm-009,227,227
FIXTURE:ufo:mtch:1v3-26h,226,226
FIXTURE:ufo:mtch:1vb-03v,226,226
FIXTURE:ufo:mtch:1v0-0k2,225,225
FIXTURE:ufo:mtch:1us-039,224,224
FIXTURE:ufo:mtch:1v9-01l,223,223
FIXTURE:ufo:mtch:1vg-02u,223,223
FIXTURE:ufo:mtch:1ut-0qb,220,220
FIXTURE:ufo:mtch:1uw-0nj,220,220
FIXTURE:ufo:mtch:1uw-0nq,217,217
FIXTURE:ufo:mtch:1v4-02a,217,217
FIXTURE:ufo:mtch:1ux-1u9,216,216
FIXTURE:ufo:mtch:1vb-03z,216,216
FIXTURE:ufo:mtch:1uy-01t,215,215
FIXTURE:ufo:mtch:1uy-0p6,215,215
FIXTURE:ufo:mtch:1vb-06i,215,215
FIXTURE:ufo:mtch:1vg-02o,214,214
FIXTURE:ufo:mtch:1vd-0hz,212,212
FIXTURE:ufo:mtch:1v3-26o,211,211
FIXTURE:ufo:mtch:1uv-2ab,209,209
FIXTURE:ufo:mtch:1v3-26g,209,209
FIXTURE:ufo:mtch:1vb-03y,206,206
FIXTURE:ufo:mtch:1us-037,205,205
FIXTURE:ufo:mtch:1vb-06o,204,204
FIXTURE:ufo:mtch:1ux-055,203,203
FIXTURE:ufo:mtch:1ve-02f,201,201
FIXTURE:ufo:mtch:1v5-00r,199,199
FIXTURE:ufo:mtch:1vb-030,197,197
FIXTURE:ufo:mtch:1v5-01o,196,196
FIXTURE:ufo:mtch:1ux-277,193,193
FIXTURE:ufo:mtch:1vd-1fi,193,193
FIXTURE:ufo:mtch:1v3-26f,192,192
FIXTURE:ufo:mtch:1vb-03f,192,192
FIXTURE:ufo:mtch:1v2-257,191,191
FIXTURE:ufo:mtch:1vl-07j,189,189
FIXTURE:ufo:mtch:1vk-029,188,188
FIXTURE:ufo:mtch:1v4-03r,184,184
FIXTURE:ufo:mtch:1vl-0w8,184,184
FIXTURE:ufo:mtch:1vr-0fc,184,184
FIXTURE:ufo:mtch:1v9-03i,183,183
FIXTURE:ufo:mtch:1uy-1wb,182,182
FIXTURE:ufo:mtch:1uy-1wj,182,182
FIXTURE:ufo:mtch:1vb-03p,182,182
FIXTURE:ufo:mtch:1vc-01y,182,182
FIXTURE:ufo:mtch:1vd-0c7,182,182
FIXTURE:ufo:mtch:1vr-0f9,182,182
FIXTURE:ufo:mtch:1uv-2gn,180,180
FIXTURE:ufo:mtch:1v7-03r,180,180
FIXTURE:ufo:mtch:1vi-03x,180,180
FIXTURE:ufo:mtch:1vl-0w2,180,180
FIXTURE:ufo:mtch:1vl-0wr,180,180
FIXTURE:ufo:mtch:1ux-05t,179,179
FIXTURE:ufo:mtch:1uz-16v,178,178
FIXTURE:ufo:mtch:1vl-09q,178,178
FIXTURE:ufo:mtch:1ux-05c,177,177
FIXTURE:ufo:mtch:1vg-2dr,177,177
FIXTURE:ufo:mtch:1vl-0wv,177,177
FIXTURE:ufo:mtch:1uv-01p,176,176
FIXTURE:ufo:mtch:1vc-03q,176,176
FIXTURE:ufo:mtch:1vl-0wa,176,176
FIXTURE:ufo:mtch:1vc-0c7,175,175
FIXTURE:ufo:mtch:1uv-286,174,174
FIXTURE:ufo:mtch:1ve-0px,174,174
FIXTURE:ufo:mtch:1uu-0dv,172,172
FIXTURE:ufo:mtch:1uz-0cz,172,172
FIXTURE:ufo:mtch:1v2-026,172,172
FIXTURE:ufo:mtch:1v8-00u,172,172
FIXTURE:ufo:mtch:1vl-0x0,172,172
FIXTURE:ufo:mtch:1uv-27q,171,171
FIXTURE:ufo:mtch:1uv-287,171,171
FIXTURE:ufo:mtch:1vk-0cz,171,171
FIXTURE:ufo:mtch:1ut-0qf,170,170
FIXTURE:ufo:mtch:1uz-0cu,170,170
FIXTURE:ufo:mtch:1vg-036,170,170
FIXTURE:ufo:mtch:1vl-0wh,170,170
FIXTURE:ufo:mtch:1uy-0os,168,168
FIXTURE:ufo:mtch:1uz-16m,168,168
FIXTURE:ufo:mtch:1v5-01m,168,168
FIXTURE:ufo:mtch:1vl-0cn,168,168
FIXTURE:ufo:mtch:1vl-0ws,168,168
FIXTURE:ufo:mtch:1vm-00z,168,168
FIXTURE:ufo:mtch:1ut-030,167,167
FIXTURE:ufo:mtch:1vc-023,167,167
FIXTURE:ufo:mtch:1vl-0w3,166,166
FIXTURE:ufo:mtch:1vl-0wj,166,166
FIXTURE:ufo:mtch:1v7-021,165,165
FIXTURE:ufo:mtch:1uv-27p,164,164
FIXTURE:ufo:mtch:1v6-06h,164,164
FIXTURE:ufo:mtch:1v7-0ax,164,164
FIXTURE:ufo:mtch:1vb-049,164,164
FIXTURE:ufo:mtch:1v0-08o,163,163
FIXTURE:ufo:mtch:1v1-0gk,163,163
FIXTURE:ufo:mtch:1vl-0xb,163,163
FIXTURE:ufo:mtch:1ux-05h,162,162
FIXTURE:ufo:mtch:1vl-0wd,162,162
FIXTURE:ufo:mtch:1v3-26d,161,161
FIXTURE:ufo:mtch:1v5-01l,161,161
FIXTURE:ufo:mtch:1ve-13f,161,161
FIXTURE:ufo:mtch:1vl-0wu,161,161
FIXTURE:ufo:mtch:1uu-005,160,160
FIXTURE:ufo:mtch:1vl-0x3,160,160
FIXTURE:ufo:mtch:1vl-0x6,159,159
FIXTURE:ufo:mtch:1vl-0x8,159,159
FIXTURE:ufo:mtch:1vg-032,158,158
FIXTURE:ufo:mtch:1vm-036,158,158
FIXTURE:ufo:mtch:1ut-2pi,157,157
FIXTURE:ufo:mtch:1v7-0g9,157,157
FIXTURE:ufo:mtch:1ve-0p3,157,157
FIXTURE:ufo:mtch:1vm-0oh,157,157
FIXTURE:ufo:mtch:1vc-03p,156,156
FIXTURE:ufo:mtch:1vi-03p,156,156
FIXTURE:ufo:mtch:1vl-0wz,156,156
FIXTURE:ufo:mtch:1vm-032,156,156
FIXTURE:ufo:mtch:1ux-252,155,155
FIXTURE:ufo:mtch:1v6-04j,155,155
FIXTURE:ufo:mtch:1v6-0ct,155,155
FIXTURE:ufo:mtch:1vi-041,155,155
FIXTURE:ufo:mtch:1vm-02w,155,155
FIXTURE:ufo:mtch:1vm-031,155,155
FIXTURE:ufo:mtch:1vc-0bk,154,154
FIXTURE:ufo:mtch:1vf-001,154,154
FIXTURE:ufo:mtch:1vm-014,154,154
FIXTURE:ufo:mtch:1ve-00s,153,153
FIXTURE:ufo:mtch:1vl-01f,153,153
FIXTURE:ufo:mtch:1vm-035,153,153
FIXTURE:ufo:mtch:1vm-0nk,153,153
FIXTURE:ufo:mtch:1v3-2iq,152,152
FIXTURE:ufo:mtch:1vg-033,152,152
FIXTURE:ufo:mtch:1ux-061,151,151
FIXTURE:ufo:mtch:1uz-0cv,151,151
FIXTURE:ufo:mtch:1uz-1ac,151,151
FIXTURE:ufo:mtch:1v3-26x,151,151
FIXTURE:ufo:mtch:1vg-035,151,151
FIXTURE:ufo:mtch:1vm-06h,151,151
FIXTURE:ufo:mtch:1vc-01p,150,150
FIXTURE:ufo:mtch:1vg-031,150,150
FIXTURE:ufo:mtch:1vm-06i,150,150
FIXTURE:ufo:mtch:1v8-02z,149,149
FIXTURE:ufo:mtch:1ve-01u,149,149
FIXTURE:ufo:mtch:1ve-02h,149,149
FIXTURE:ufo:mtch:1ve-0da,149,149
FIXTURE:ufo:mtch:1vm-034,149,149
FIXTURE:ufo:mtch:1v2-0jz,148,148
FIXTURE:ufo:mtch:1vj-01t,148,148
FIXTURE:ufo:mtch:1vm-0j1,148,148
FIXTURE:ufo:mtch:1vm-0j2,148,148
FIXTURE:ufo:mtch:1v8-004,147,147
FIXTURE:ufo:mtch:1vg-03d,147,147
FIXTURE:ufo:mtch:1uv-043,145,145
FIXTURE:ufo:mtch:1uz-09i,144,144
FIXTURE:ufo:mtch:1vb-03x,144,144
FIXTURE:ufo:mtch:1uu-0di,143,143
FIXTURE:ufo:mtch:1vg-0bf,143,143
FIXTURE:ufo:mtch:1v2-01t,142,142
FIXTURE:ufo:mtch:1vg-0bl,142,142
FIXTURE:ufo:mtch:1vy-01u,142,142
FIXTURE:ufo:mtch:1vc-0rn,141,141
FIXTURE:ufo:mtch:1v7-027,140,140
FIXTURE:ufo:mtch:1vb-02x,140,140
FIXTURE:ufo:mtch:1vg-0b7,140,140
FIXTURE:ufo:mtch:1vk-09k,140,140
FIXTURE:ufo:mtch:1uu-0bu,139,139
FIXTURE:ufo:mtch:1uz-16y,139,139
FIXTURE:ufo:mtch:1vd-01q,139,139
FIXTURE:ufo:mtch:1vg-02m,139,139
FIXTURE:ufo:mtch:1vg-0b9,139,139
FIXTURE:ufo:mtch:1vj-01f,139,139
FIXTURE:ufo:mtch:1uy-03l,138,138
FIXTURE:ufo:mtch:1v1-00i,138,138
FIXTURE:ufo:mtch:1vy-04x,138,138
FIXTURE:ufo:mtch:1vg-0bo,137,137
FIXTURE:ufo:mtch:1vl-0gd,137,137
FIXTURE:ufo:mtch:1v1-2i9,136,136
FIXTURE:ufo:mtch:1v4-027,136,136
FIXTURE:ufo:mtch:1vg-0bq,136,136
FIXTURE:ufo:mtch:1vh-04y,136,136
FIXTURE:ufo:mtch:1vk-09s,136,136
FIXTURE:ufo:mtch:1vk-0f3,135,135
FIXTURE:ufo:mtch:1uy-03m,134,134
FIXTURE:ufo:mtch:1v7-031,134,134
FIXTURE:ufo:mtch:1vb-03u,134,134
FIXTURE:ufo:mtch:1vl-07c,134,134
FIXTURE:ufo:mtch:1vl-09o,134,134
FIXTURE:ufo:mtch:1uz-0gu,133,133
FIXTURE:ufo:mtch:1v0-00r,133,133
FIXTURE:ufo:mtch:1v0-00s,133,133
FIXTURE:ufo:mtch:1vg-0b8,133,133
FIXTURE:ufo:mtch:1vi-03v,133,133
FIXTURE:ufo:mtch:1vj-03b,133,133
FIXTURE:ufo:mtch:1vl-0wb,133,133
FIXTURE:ufo:mtch:1vl-0wc,133,133
FIXTURE:ufo:mtch:1v5-0pg,132,132
FIXTURE:ufo:mtch:1v8-00n,132,132
FIXTURE:ufo:mtch:1vl-0wk,132,132
FIXTURE:ufo:mtch:1vb-03w,131,131
FIXTURE:ufo:mtch:1vi-04h,131,131
FIXTURE:ufo:mtch:1uz-01n,130,130
FIXTURE:ufo:mtch:1v1-1vo,130,130
FIXTURE:ufo:mtch:1v3-02p,130,130
FIXTURE:ufo:mtch:1vd-01o,130,130
FIXTURE:ufo:mtch:1vi-03s,130,130
FIXTURE:ufo:mtch:1vk-09u,130,130
FIXTURE:ufo:mtch:1vk-0mk,130,130
FIXTURE:ufo:mtch:1vk-0a0,129,129
FIXTURE:ufo:mtch:1vk-0mh,129,129
FIXTURE:ufo:mtch:1uu-01n,128,128
FIXTURE:ufo:mtch:1uu-0dh,128,128
FIXTURE:ufo:mtch:1v4-02c,128,128
FIXTURE:ufo:mtch:1vj-01o,127,127
FIXTURE:ufo:mtch:1vk-09t,127,127
FIXTURE:ufo:mtch:1v6-18e,126,126
FIXTURE:ufo:mtch:1v9-0ga,126,126
FIXTURE:ufo:mtch:1uz-02c,125,125
FIXTURE:ufo:mtch:1v4-023,125,125
FIXTURE:ufo:mtch:1v0-0vw,124,124
FIXTURE:ufo:mtch:1vk-0a2,124,124
FIXTURE:ufo:mtch:1vk-0mj,124,124
FIXTURE:ufo:mtch:1vl-152,124,124
FIXTURE:ufo:mtch:1us-24c,123,123
FIXTURE:ufo:mtch:1uw-1vg,123,123
FIXTURE:ufo:mtch:1vl-0w6,123,123
FIXTURE:ufo:mtch:1us-01v,122,122
FIXTURE:ufo:mtch:1v2-25b,122,122
FIXTURE:ufo:mtch:1v3-0tw,122,122
FIXTURE:ufo:mtch:1vd-01j,122,122
FIXTURE:ufo:mtch:1vi-043,122,122
FIXTURE:ufo:mtch:1vk-0mi,122,122
FIXTURE:ufo:mtch:1uu-0dr,121,121
FIXTURE:ufo:mtch:1uv-2hc,121,121
FIXTURE:ufo:mtch:1v1-0e5,121,121
FIXTURE:ufo:mtch:1vb-040,121,121
FIXTURE:ufo:mtch:1vd-01p,121,121
FIXTURE:ufo:mtch:1vf-21d,121,121
FIXTURE:ufo:mtch:1vg-01s,121,121
FIXTURE:ufo:mtch:1uz-0a0,120,120
FIXTURE:ufo:mtch:1vk-113,120,120
FIXTURE:ufo:mtch:1v8-00g,119,119
FIXTURE:ufo:mtch:1vg-2dy,119,119
FIXTURE:ufo:mtch:1vg-2mx,119,119
FIXTURE:ufo:mtch:1vi-03m,119,119
FIXTURE:ufo:mtch:1ut-0qm,118,118
FIXTURE:ufo:mtch:1uw-1vs,118,118
FIXTURE:ufo:mtch:1uw-1vw,118,118
FIXTURE:ufo:mtch:1v7-043,118,118
FIXTURE:ufo:mtch:1vd-013,118,118
FIXTURE:ufo:mtch:1vi-042,118,118
FIXTURE:ufo:mtch:1vl-153,118,118
FIXTURE:ufo:mtch:1uu-0dp,117,117
FIXTURE:ufo:mtch:1v4-02n,117,117
FIXTURE:ufo:mtch:1ut-0qi,116,116
FIXTURE:ufo:mtch:1uu-0ds,116,116
FIXTURE:ufo:mtch:1uz-16u,116,116
FIXTURE:ufo:mtch:1v5-0at,116,116
FIXTURE:ufo:mtch:1ux-04o,115,115
FIXTURE:ufo:mtch:1v6-1c9,115,115
FIXTURE:ufo:mtch:1vl-0wp,115,115
FIXTURE:ufo:mtch:1vl-156,115,115
FIXTURE:ufo:mtch:1uz-07r,114,114
FIXTURE:ufo:mtch:1v5-02h,114,114
FIXTURE:ufo:mtch:1uv-04o,113,113
FIXTURE:ufo:mtch:1uz-01o,112,112
FIXTURE:ufo:mtch:1v0-00x,112,112
FIXTURE:ufo:mtch:1v5-01e,112,112
FIXTURE:ufo:mtch:1v5-04y,112,112
FIXTURE:ufo:mtch:1v6-0cu,112,112
FIXTURE:ufo:mtch:1va-0jp,112,112
FIXTURE:ufo:mtch:1ve-041,112,112
FIXTURE:ufo:mtch:1vf-21l,112,112
FIXTURE:ufo:mtch:1vl-0wi,112,112
FIXTURE:ufo:mtch:1uu-0du,111,111
FIXTURE:ufo:mtch:1vl-151,111,111
FIXTURE:ufo:mtch:1ux-24q,110,110
FIXTURE:ufo:mtch:1v1-005,109,109
FIXTURE:ufo:mtch:1vg-02p,109,109
FIXTURE:ufo:mtch:1vg-2dw,109,109
FIXTURE:ufo:mtch:1vj-02m,109,109
FIXTURE:ufo:mtch:1vl-0x4,109,109
FIXTURE:ufo:mtch:1vl-0xa,109,109
FIXTURE:ufo:mtch:1vl-15a,109,109
FIXTURE:ufo:mtch:1vm-012,109,109
FIXTURE:ufo:mtch:1ut-0qg,108,108
FIXTURE:ufo:mtch:1v3-02r,108,108
FIXTURE:ufo:mtch:1v9-0ks,108,108
FIXTURE:ufo:mtch:1v9-118,108,108
FIXTURE:ufo:mtch:1vb-236,108,108
FIXTURE:ufo:mtch:1ux-03p,107,107
FIXTURE:ufo:mtch:1uz-027,107,107
FIXTURE:ufo:mtch:1uz-0jp,107,107
FIXTURE:ufo:mtch:1v0-0a4,107,107
FIXTURE:ufo:mtch:1v1-006,107,107
FIXTURE:ufo:mtch:1v3-0tc,107,107
FIXTURE:ufo:mtch:1vf-218,107,107
FIXTURE:ufo:mtch:1vg-2n4,107,107
FIXTURE:ufo:mtch:1v5-02b,106,106
FIXTURE:ufo:mtch:1vb-06p,106,106
FIXTURE:ufo:mtch:1vc-08j,106,106
FIXTURE:ufo:mtch:1ve-01o,106,106
FIXTURE:ufo:mtch:1vg-254,106,106
FIXTURE:ufo:mtch:1vl-01i,106,106
FIXTURE:ufo:mtch:1vl-02t,106,106
FIXTURE:ufo:mtch:1v5-02i,105,105
FIXTURE:ufo:mtch:1vl-0x1,105,105
FIXTURE:ufo:mtch:1vl-14z,105,105
FIXTURE:ufo:mtch:1ux-04n,104,104
FIXTURE:ufo:mtch:1uz-022,104,104
FIXTURE:ufo:mtch:1v2-021,104,104
FIXTURE:ufo:mtch:1v3-26r,104,104
FIXTURE:ufo:mtch:1v6-0cs,104,104
FIXTURE:ufo:mtch:1v9-0fc,104,104
FIXTURE:ufo:mtch:1vf-217,104,104
FIXTURE:ufo:mtch:1v1-0cp,103,103
FIXTURE:ufo:mtch:1v4-01o,103,103
FIXTURE:ufo:mtch:1ve-2v6,103,103
FIXTURE:ufo:mtch:1vg-037,103,103
FIXTURE:ufo:mtch:1vl-03a,103,103
FIXTURE:ufo:mtch:1vl-0x5,103,103
FIXTURE:ufo:mtch:1v5-02q,102,102
FIXTURE:ufo:mtch:1v7-00o,102,102
FIXTURE:ufo:mtch:1vj-020,102,102
FIXTURE:ufo:mtch:1vj-025,102,102
FIXTURE:ufo:mtch:1vk-027,102,102
FIXTURE:ufo:mtch:1v5-02w,101,101
FIXTURE:ufo:mtch:1uu-00b,100,100
FIXTURE:ufo:mtch:1ux-25n,100,100
FIXTURE:ufo:mtch:1v0-08s,100,100
FIXTURE:ufo:mtch:1v3-0gd,100,100
FIXTURE:ufo:mtch:1v5-06n,100,100
FIXTURE:ufo:mtch:1v7-1ll,100,100
FIXTURE:ufo:mtch:1vd-0bv,100,100
FIXTURE:ufo:mtch:1v0-015,99,99
FIXTURE:ufo:mtch:1v4-02h,99,99
FIXTURE:ufo:mtch:1v7-123,99,99
FIXTURE:ufo:mtch:1v9-02k,99,99
FIXTURE:ufo:mtch:1v6-2gh,98,98
FIXTURE:ufo:mtch:1v9-02g,98,98
FIXTURE:ufo:mtch:1v9-02h,98,98
FIXTURE:ufo:mtch:1v9-03s,98,98
FIXTURE:ufo:mtch:1vb-23h,98,98
FIXTURE:ufo:mtch:1ve-062,98,98
FIXTURE:ufo:mtch:1vf-00r,98,98
FIXTURE:ufo:mtch:1vl-021,98,98
FIXTURE:ufo:mtch:1ut-01f,97,97
FIXTURE:ufo:mtch:1uz-01j,97,97
FIXTURE:ufo:mtch:1v7-03q,97,97
FIXTURE:ufo:mtch:1v9-02d,97,97
FIXTURE:ufo:mtch:1v9-02l,97,97
FIXTURE:ufo:mtch:1v9-02m,97,97
FIXTURE:ufo:mtch:1v9-0fd,97,97
FIXTURE:ufo:mtch:1v9-0ff,97,97
FIXTURE:ufo:mtch:1vc-010,97,97
FIXTURE:ufo:mtch:1vk-0e1,97,97
